""	"x"
"1"	"B"
"2"	"A"
"3"	"C"
"4"	"E"
"5"	"A"
"6"	"A"
"7"	"A"
"8"	"A"
"9"	"A"
"10"	"E"
"11"	"A"
"12"	"B"
"13"	"B"
"14"	"A"
"15"	"E"
"16"	"A"
"17"	"C"
"18"	"D"
"19"	"A"
"20"	"A"
"21"	"C"
"22"	"A"
"23"	"F"
"24"	"E"
"25"	"B"
"26"	"D"
"27"	"D"
"28"	"C"
"29"	"B"
"30"	"A"
"31"	"F"
"32"	"C"
"33"	"F"
"34"	"E"
"35"	"A"
"36"	"E"
"37"	"B"
"38"	"A"
"39"	"D"
"40"	"A"
"41"	"E"
"42"	"D"
"43"	"D"
"44"	"D"
"45"	"C"
"46"	"E"
"47"	"D"
"48"	"D"
"49"	"E"
"50"	"C"
"51"	"C"
"52"	"B"
"53"	"A"
"54"	"D"
"55"	"B"
"56"	"D"
"57"	"C"
"58"	"B"
"59"	"A"
"60"	"A"
"61"	"A"
"62"	"E"
"63"	"B"
"64"	"A"
"65"	"C"
"66"	"B"
"67"	"A"
"68"	"A"
"69"	"E"
"70"	"E"
"71"	"A"
"72"	"E"
"73"	"B"
"74"	"D"
"75"	"B"
"76"	"E"
"77"	"A"
"78"	"A"
"79"	"A"
"80"	"E"
"81"	"E"
"82"	"E"
"83"	"C"
"84"	"A"
"85"	"A"
"86"	"A"
"87"	"B"
"88"	"C"
"89"	"E"
"90"	"D"
"91"	"B"
"92"	"F"
"93"	"D"
"94"	"E"
"95"	"D"
"96"	"B"
"97"	"D"
"98"	"D"
"99"	"A"
"100"	"C"
"101"	"B"
"102"	"C"
"103"	"A"
"104"	"C"
"105"	"B"
"106"	"F"
"107"	"C"
"108"	"E"
"109"	"C"
"110"	"E"
"111"	"D"
"112"	"D"
"113"	"D"
"114"	"D"
"115"	"B"
"116"	"C"
"117"	"C"
"118"	"B"
"119"	"A"
"120"	"F"
"121"	"F"
"122"	"A"
"123"	"B"
"124"	"A"
"125"	"A"
"126"	"A"
"127"	"E"
"128"	"D"
"129"	"E"
"130"	"C"
"131"	"C"
"132"	"B"
"133"	"F"
"134"	"D"
"135"	"A"
"136"	"C"
"137"	"F"
"138"	"E"
"139"	"E"
"140"	"A"
"141"	"B"
"142"	"B"
"143"	"A"
"144"	"D"
"145"	"A"
"146"	"D"
"147"	"E"
"148"	"D"
"149"	"E"
"150"	"B"
"151"	"E"
"152"	"A"
"153"	"B"
"154"	"A"
"155"	"F"
"156"	"A"
"157"	"A"
"158"	"A"
"159"	"A"
"160"	"A"
"161"	"D"
"162"	"A"
"163"	"B"
"164"	"F"
"165"	"B"
"166"	"F"
"167"	"F"
"168"	"C"
"169"	"D"
"170"	"E"
"171"	"C"
"172"	"D"
"173"	"A"
"174"	"B"
"175"	"A"
"176"	"F"
"177"	"E"
"178"	"A"
"179"	"A"
"180"	"C"
"181"	"B"
"182"	"D"
"183"	"E"
"184"	"A"
"185"	"C"
"186"	"D"
"187"	"F"
"188"	"E"
"189"	"E"
"190"	"D"
"191"	"A"
"192"	"F"
"193"	"A"
"194"	"A"
"195"	"F"
"196"	"A"
"197"	"A"
"198"	"A"
"199"	"D"
"200"	"E"
"201"	"E"
"202"	"D"
"203"	"D"
"204"	"E"
"205"	"A"
"206"	"D"
"207"	"B"
"208"	"B"
"209"	"C"
"210"	"D"
"211"	"D"
"212"	"A"
"213"	"D"
"214"	"E"
"215"	"A"
"216"	"D"
"217"	"D"
"218"	"A"
"219"	"B"
"220"	"E"
"221"	"D"
"222"	"E"
"223"	"A"
"224"	"D"
"225"	"A"
"226"	"B"
"227"	"B"
"228"	"F"
"229"	"B"
"230"	"A"
"231"	"C"
"232"	"D"
"233"	"B"
"234"	"C"
"235"	"E"
"236"	"D"
"237"	"A"
"238"	"D"
"239"	"D"
"240"	"D"
"241"	"D"
"242"	"A"
"243"	"A"
"244"	"A"
"245"	"D"
"246"	"B"
"247"	"C"
"248"	"E"
"249"	"E"
"250"	"E"
"251"	"B"
"252"	"C"
"253"	"E"
"254"	"F"
"255"	"E"
"256"	"B"
"257"	"A"
"258"	"E"
"259"	"D"
"260"	"C"
"261"	"D"
"262"	"E"
"263"	"B"
"264"	"B"
"265"	"A"
"266"	"D"
"267"	"B"
"268"	"A"
"269"	"B"
"270"	"F"
"271"	"B"
"272"	"F"
"273"	"D"
"274"	"A"
"275"	"F"
"276"	"A"
"277"	"A"
"278"	"A"
"279"	"D"
"280"	"A"
"281"	"E"
"282"	"E"
"283"	"A"
"284"	"B"
"285"	"B"
"286"	"E"
"287"	"D"
"288"	"C"
"289"	"B"
"290"	"A"
"291"	"E"
"292"	"E"
"293"	"A"
"294"	"D"
"295"	"C"
"296"	"D"
"297"	"B"
"298"	"A"
"299"	"A"
"300"	"A"
"301"	"E"
"302"	"F"
"303"	"E"
"304"	"E"
"305"	"A"
"306"	"A"
"307"	"C"
"308"	"C"
"309"	"D"
"310"	"E"
"311"	"E"
"312"	"B"
"313"	"D"
"314"	"E"
"315"	"A"
"316"	"A"
"317"	"D"
"318"	"E"
"319"	"D"
"320"	"D"
"321"	"A"
"322"	"B"
"323"	"A"
"324"	"A"
"325"	"A"
"326"	"E"
"327"	"E"
"328"	"A"
"329"	"A"
"330"	"E"
"331"	"F"
"332"	"D"
"333"	"D"
"334"	"E"
"335"	"E"
"336"	"B"
"337"	"E"
"338"	"E"
"339"	"D"
"340"	"D"
"341"	"E"
"342"	"D"
"343"	"D"
"344"	"E"
"345"	"A"
"346"	"D"
"347"	"A"
"348"	"E"
"349"	"E"
"350"	"A"
"351"	"D"
"352"	"B"
"353"	"E"
"354"	"E"
"355"	"B"
"356"	"A"
"357"	"A"
"358"	"E"
"359"	"D"
"360"	"B"
"361"	"C"
"362"	"B"
"363"	"E"
"364"	"B"
"365"	"E"
"366"	"D"
"367"	"B"
"368"	"F"
"369"	"B"
"370"	"A"
"371"	"E"
"372"	"B"
"373"	"D"
"374"	"B"
"375"	"B"
"376"	"B"
"377"	"E"
"378"	"A"
"379"	"B"
"380"	"E"
"381"	"A"
"382"	"D"
"383"	"B"
"384"	"C"
"385"	"B"
"386"	"D"
"387"	"C"
"388"	"C"
"389"	"B"
"390"	"C"
"391"	"E"
"392"	"C"
"393"	"B"
"394"	"C"
"395"	"E"
"396"	"E"
"397"	"E"
"398"	"A"
"399"	"C"
"400"	"B"
"401"	"E"
"402"	"A"
"403"	"A"
"404"	"D"
"405"	"A"
"406"	"C"
"407"	"C"
"408"	"A"
"409"	"A"
"410"	"B"
"411"	"D"
"412"	"B"
"413"	"A"
"414"	"E"
"415"	"D"
"416"	"C"
"417"	"A"
"418"	"B"
"419"	"D"
"420"	"C"
"421"	"A"
"422"	"D"
"423"	"E"
"424"	"B"
"425"	"A"
"426"	"B"
"427"	"E"
"428"	"E"
"429"	"E"
"430"	"C"
"431"	"F"
"432"	"C"
"433"	"B"
"434"	"D"
"435"	"C"
"436"	"C"
"437"	"D"
"438"	"A"
"439"	"E"
"440"	"B"
"441"	"E"
"442"	"E"
"443"	"A"
"444"	"C"
"445"	"A"
"446"	"A"
"447"	"C"
"448"	"F"
"449"	"A"
"450"	"C"
"451"	"D"
"452"	"A"
"453"	"A"
"454"	"A"
"455"	"D"
"456"	"D"
"457"	"B"
"458"	"A"
"459"	"B"
"460"	"D"
"461"	"A"
"462"	"B"
"463"	"D"
"464"	"A"
"465"	"D"
"466"	"E"
"467"	"E"
"468"	"A"
"469"	"D"
"470"	"D"
"471"	"E"
"472"	"E"
"473"	"A"
"474"	"A"
"475"	"B"
"476"	"C"
"477"	"B"
"478"	"C"
"479"	"A"
"480"	"E"
"481"	"E"
"482"	"C"
"483"	"D"
"484"	"D"
"485"	"D"
"486"	"B"
"487"	"E"
"488"	"A"
"489"	"D"
"490"	"E"
"491"	"C"
"492"	"A"
"493"	"A"
"494"	"A"
"495"	"C"
"496"	"D"
"497"	"E"
"498"	"E"
"499"	"D"
"500"	"D"
"501"	"D"
"502"	"E"
"503"	"E"
"504"	"B"
"505"	"A"
