""	"x"
"1"	"E"
"2"	"F"
"3"	"B"
"4"	"E"
"5"	"E"
"6"	"D"
"7"	"D"
"8"	"A"
"9"	"B"
"10"	"F"
"11"	"E"
"12"	"C"
"13"	"E"
"14"	"E"
"15"	"A"
"16"	"B"
"17"	"D"
"18"	"A"
"19"	"F"
"20"	"B"
"21"	"A"
"22"	"E"
"23"	"B"
"24"	"C"
"25"	"C"
"26"	"B"
"27"	"B"
"28"	"F"
"29"	"C"
"30"	"C"
"31"	"B"
"32"	"A"
"33"	"D"
"34"	"C"
"35"	"A"
"36"	"B"
"37"	"B"
"38"	"B"
"39"	"F"
"40"	"E"
"41"	"B"
"42"	"A"
"43"	"D"
"44"	"F"
"45"	"F"
"46"	"F"
"47"	"A"
"48"	"B"
"49"	"E"
"50"	"D"
"51"	"C"
"52"	"A"
"53"	"D"
"54"	"C"
"55"	"B"
"56"	"F"
"57"	"E"
"58"	"B"
"59"	"A"
"60"	"B"
"61"	"F"
"62"	"B"
"63"	"C"
"64"	"A"
"65"	"C"
"66"	"F"
"67"	"B"
"68"	"B"
"69"	"F"
"70"	"E"
"71"	"E"
"72"	"D"
"73"	"F"
"74"	"C"
"75"	"B"
"76"	"F"
"77"	"E"
"78"	"D"
"79"	"B"
"80"	"C"
"81"	"B"
"82"	"F"
"83"	"A"
"84"	"F"
"85"	"F"
"86"	"C"
"87"	"B"
"88"	"F"
"89"	"A"
"90"	"C"
"91"	"B"
"92"	"B"
"93"	"F"
"94"	"B"
"95"	"A"
"96"	"C"
"97"	"C"
"98"	"F"
"99"	"B"
"100"	"B"
"101"	"E"
"102"	"F"
"103"	"A"
"104"	"A"
"105"	"A"
"106"	"B"
"107"	"C"
"108"	"D"
"109"	"A"
"110"	"C"
"111"	"B"
"112"	"C"
"113"	"F"
"114"	"F"
"115"	"C"
"116"	"A"
"117"	"A"
"118"	"F"
"119"	"D"
"120"	"A"
"121"	"F"
"122"	"C"
"123"	"B"
"124"	"B"
"125"	"E"
"126"	"D"
"127"	"B"
"128"	"F"
"129"	"D"
"130"	"E"
"131"	"A"
"132"	"D"
"133"	"D"
"134"	"D"
"135"	"E"
"136"	"C"
"137"	"F"
"138"	"C"
"139"	"A"
"140"	"B"
"141"	"D"
"142"	"C"
"143"	"F"
"144"	"F"
"145"	"C"
"146"	"A"
"147"	"F"
"148"	"E"
"149"	"C"
"150"	"A"
"151"	"A"
"152"	"D"
"153"	"F"
"154"	"A"
"155"	"D"
"156"	"F"
"157"	"F"
"158"	"A"
"159"	"A"
"160"	"F"
"161"	"A"
"162"	"E"
"163"	"B"
"164"	"F"
"165"	"F"
"166"	"B"
"167"	"F"
"168"	"F"
"169"	"E"
"170"	"B"
"171"	"B"
"172"	"F"
"173"	"B"
"174"	"B"
"175"	"B"
"176"	"D"
"177"	"E"
"178"	"F"
"179"	"F"
"180"	"B"
"181"	"B"
"182"	"C"
"183"	"F"
"184"	"C"
"185"	"C"
"186"	"A"
"187"	"B"
"188"	"B"
"189"	"A"
"190"	"A"
"191"	"D"
"192"	"D"
"193"	"F"
"194"	"A"
"195"	"B"
"196"	"B"
"197"	"B"
"198"	"F"
"199"	"A"
"200"	"C"
"201"	"E"
"202"	"F"
"203"	"F"
"204"	"A"
"205"	"D"
"206"	"F"
"207"	"A"
