""	"x"
"1"	"B"
"2"	"C"
"3"	"D"
"4"	"F"
"5"	"A"
"6"	"A"
"7"	"A"
"8"	"D"
"9"	"B"
"10"	"C"
"11"	"A"
"12"	"F"
"13"	"D"
"14"	"C"
"15"	"A"
"16"	"A"
"17"	"A"
"18"	"C"
"19"	"C"
"20"	"F"
"21"	"A"
"22"	"F"
"23"	"F"
"24"	"D"
"25"	"B"
"26"	"D"
"27"	"E"
"28"	"E"
"29"	"A"
"30"	"A"
"31"	"C"
"32"	"F"
"33"	"E"
"34"	"F"
"35"	"A"
"36"	"D"
"37"	"A"
"38"	"C"
"39"	"F"
"40"	"C"
"41"	"A"
"42"	"E"
"43"	"F"
"44"	"A"
"45"	"F"
"46"	"A"
"47"	"F"
"48"	"F"
"49"	"A"
"50"	"A"
"51"	"A"
"52"	"A"
"53"	"F"
"54"	"A"
"55"	"A"
"56"	"A"
"57"	"C"
"58"	"D"
"59"	"A"
"60"	"E"
"61"	"F"
"62"	"F"
"63"	"F"
"64"	"A"
"65"	"D"
"66"	"F"
"67"	"B"
"68"	"F"
"69"	"A"
"70"	"A"
"71"	"F"
"72"	"D"
"73"	"A"
"74"	"A"
"75"	"E"
"76"	"F"
"77"	"B"
"78"	"F"
"79"	"E"
"80"	"F"
"81"	"B"
"82"	"A"
"83"	"C"
"84"	"C"
"85"	"F"
"86"	"A"
"87"	"A"
"88"	"C"
"89"	"C"
"90"	"C"
"91"	"C"
"92"	"C"
"93"	"C"
"94"	"F"
"95"	"A"
"96"	"A"
"97"	"A"
"98"	"A"
"99"	"F"
"100"	"A"
"101"	"D"
"102"	"C"
"103"	"D"
"104"	"C"
"105"	"F"
"106"	"B"
"107"	"A"
"108"	"C"
"109"	"A"
"110"	"C"
"111"	"F"
"112"	"F"
"113"	"A"
"114"	"F"
"115"	"A"
"116"	"A"
"117"	"C"
"118"	"C"
"119"	"C"
"120"	"C"
"121"	"C"
"122"	"A"
"123"	"D"
"124"	"F"
"125"	"A"
"126"	"F"
"127"	"A"
"128"	"C"
"129"	"A"
"130"	"D"
"131"	"A"
"132"	"F"
"133"	"A"
"134"	"A"
"135"	"F"
"136"	"A"
"137"	"F"
"138"	"A"
"139"	"A"
"140"	"A"
"141"	"F"
"142"	"D"
"143"	"E"
"144"	"C"
"145"	"A"
"146"	"A"
"147"	"A"
"148"	"F"
"149"	"F"
"150"	"F"
"151"	"C"
"152"	"C"
"153"	"F"
"154"	"F"
"155"	"A"
"156"	"A"
"157"	"D"
"158"	"A"
"159"	"F"
"160"	"D"
"161"	"C"
"162"	"B"
"163"	"A"
"164"	"A"
"165"	"B"
"166"	"F"
"167"	"F"
"168"	"F"
"169"	"A"
"170"	"A"
"171"	"C"
"172"	"C"
"173"	"A"
"174"	"A"
"175"	"F"
"176"	"F"
"177"	"A"
"178"	"F"
"179"	"A"
"180"	"C"
"181"	"C"
"182"	"D"
"183"	"A"
"184"	"F"
"185"	"C"
"186"	"A"
"187"	"B"
"188"	"F"
"189"	"F"
"190"	"C"
"191"	"D"
"192"	"F"
"193"	"F"
"194"	"A"
"195"	"A"
"196"	"A"
"197"	"C"
"198"	"A"
"199"	"C"
"200"	"F"
"201"	"C"
"202"	"D"
"203"	"A"
"204"	"F"
"205"	"F"
"206"	"D"
"207"	"A"
"208"	"F"
"209"	"A"
"210"	"C"
"211"	"A"
"212"	"C"
"213"	"C"
"214"	"F"
"215"	"A"
"216"	"D"
"217"	"A"
"218"	"D"
"219"	"C"
"220"	"F"
"221"	"F"
"222"	"A"
"223"	"A"
"224"	"E"
"225"	"A"
"226"	"F"
"227"	"A"
"228"	"F"
"229"	"C"
"230"	"A"
"231"	"F"
"232"	"F"
"233"	"A"
"234"	"A"
"235"	"A"
"236"	"A"
"237"	"D"
"238"	"A"
"239"	"A"
"240"	"A"
"241"	"C"
"242"	"F"
"243"	"A"
"244"	"C"
"245"	"A"
"246"	"F"
"247"	"D"
"248"	"C"
"249"	"E"
"250"	"A"
"251"	"B"
"252"	"A"
"253"	"B"
"254"	"A"
"255"	"F"
"256"	"F"
"257"	"A"
"258"	"F"
"259"	"A"
"260"	"F"
"261"	"A"
"262"	"A"
"263"	"C"
"264"	"C"
"265"	"F"
"266"	"F"
"267"	"D"
"268"	"C"
"269"	"C"
"270"	"C"
"271"	"E"
"272"	"C"
"273"	"C"
"274"	"A"
"275"	"F"
"276"	"A"
"277"	"C"
"278"	"A"
"279"	"B"
"280"	"A"
"281"	"C"
"282"	"A"
"283"	"F"
"284"	"A"
"285"	"B"
"286"	"A"
"287"	"D"
"288"	"C"
"289"	"F"
"290"	"A"
"291"	"A"
"292"	"C"
"293"	"A"
"294"	"A"
"295"	"B"
"296"	"C"
"297"	"A"
"298"	"C"
"299"	"F"
"300"	"C"
"301"	"A"
"302"	"A"
"303"	"B"
"304"	"F"
"305"	"A"
"306"	"A"
"307"	"A"
"308"	"B"
"309"	"F"
"310"	"F"
"311"	"B"
"312"	"A"
"313"	"E"
"314"	"C"
"315"	"C"
"316"	"A"
"317"	"D"
"318"	"F"
"319"	"A"
"320"	"A"
"321"	"D"
"322"	"E"
"323"	"A"
"324"	"C"
"325"	"A"
"326"	"D"
"327"	"A"
"328"	"A"
"329"	"A"
"330"	"E"
"331"	"C"
"332"	"E"
"333"	"A"
"334"	"F"
"335"	"A"
"336"	"A"
"337"	"C"
"338"	"F"
"339"	"A"
"340"	"A"
"341"	"A"
"342"	"A"
"343"	"A"
"344"	"E"
"345"	"F"
"346"	"F"
"347"	"C"
"348"	"E"
"349"	"D"
"350"	"D"
"351"	"A"
"352"	"C"
"353"	"A"
"354"	"F"
"355"	"D"
"356"	"F"
"357"	"D"
"358"	"A"
"359"	"A"
"360"	"A"
"361"	"E"
"362"	"F"
"363"	"F"
"364"	"C"
"365"	"B"
"366"	"C"
"367"	"B"
"368"	"D"
"369"	"C"
"370"	"C"
"371"	"C"
"372"	"F"
"373"	"C"
"374"	"F"
"375"	"A"
"376"	"C"
"377"	"D"
"378"	"A"
"379"	"B"
"380"	"C"
"381"	"C"
"382"	"F"
"383"	"D"
"384"	"F"
"385"	"A"
"386"	"F"
"387"	"C"
"388"	"A"
"389"	"F"
"390"	"D"
"391"	"E"
"392"	"A"
"393"	"A"
"394"	"A"
"395"	"F"
"396"	"E"
"397"	"F"
"398"	"B"
"399"	"C"
"400"	"A"
"401"	"A"
"402"	"C"
"403"	"F"
"404"	"A"
"405"	"A"
"406"	"F"
"407"	"A"
"408"	"A"
"409"	"A"
"410"	"F"
"411"	"A"
"412"	"A"
"413"	"E"
"414"	"A"
"415"	"A"
"416"	"D"
"417"	"A"
"418"	"C"
"419"	"C"
"420"	"B"
"421"	"A"
"422"	"C"
"423"	"A"
"424"	"C"
"425"	"C"
"426"	"B"
"427"	"A"
"428"	"C"
"429"	"C"
"430"	"A"
"431"	"F"
"432"	"A"
"433"	"A"
"434"	"E"
"435"	"C"
"436"	"D"
"437"	"A"
"438"	"D"
"439"	"C"
"440"	"A"
"441"	"A"
"442"	"A"
"443"	"C"
"444"	"F"
"445"	"F"
"446"	"F"
"447"	"F"
"448"	"E"
"449"	"E"
"450"	"E"
"451"	"A"
"452"	"D"
"453"	"D"
"454"	"A"
"455"	"A"
"456"	"A"
"457"	"C"
"458"	"A"
"459"	"F"
"460"	"F"
"461"	"C"
"462"	"E"
"463"	"E"
"464"	"F"
"465"	"D"
"466"	"F"
"467"	"D"
"468"	"F"
"469"	"C"
"470"	"D"
"471"	"A"
"472"	"A"
"473"	"A"
"474"	"D"
"475"	"C"
"476"	"F"
"477"	"C"
"478"	"A"
"479"	"A"
"480"	"C"
"481"	"C"
"482"	"F"
"483"	"C"
"484"	"D"
"485"	"F"
"486"	"D"
"487"	"C"
"488"	"F"
"489"	"D"
"490"	"F"
"491"	"A"
"492"	"C"
"493"	"D"
"494"	"A"
"495"	"C"
"496"	"A"
"497"	"F"
"498"	"D"
"499"	"F"
"500"	"A"
"501"	"C"
"502"	"F"
"503"	"F"
"504"	"F"
"505"	"F"
"506"	"A"
"507"	"C"
"508"	"C"
"509"	"A"
"510"	"C"
"511"	"B"
"512"	"A"
"513"	"E"
"514"	"F"
"515"	"C"
"516"	"C"
"517"	"B"
"518"	"A"
"519"	"B"
"520"	"A"
"521"	"B"
"522"	"F"
"523"	"F"
"524"	"A"
"525"	"F"
"526"	"A"
"527"	"A"
"528"	"F"
"529"	"E"
"530"	"F"
"531"	"A"
"532"	"F"
"533"	"D"
"534"	"A"
"535"	"C"
"536"	"F"
"537"	"C"
"538"	"D"
"539"	"D"
"540"	"C"
"541"	"F"
"542"	"C"
"543"	"A"
"544"	"A"
"545"	"C"
"546"	"E"
"547"	"A"
"548"	"A"
"549"	"A"
"550"	"C"
"551"	"A"
"552"	"E"
"553"	"C"
"554"	"D"
"555"	"A"
"556"	"F"
"557"	"F"
"558"	"A"
"559"	"A"
"560"	"A"
"561"	"C"
"562"	"D"
"563"	"A"
"564"	"A"
"565"	"C"
"566"	"A"
"567"	"D"
"568"	"C"
"569"	"D"
"570"	"F"
"571"	"C"
"572"	"A"
"573"	"D"
"574"	"C"
"575"	"A"
"576"	"C"
"577"	"E"
"578"	"C"
"579"	"F"
"580"	"B"
"581"	"F"
"582"	"D"
"583"	"C"
"584"	"C"
"585"	"F"
"586"	"A"
"587"	"C"
"588"	"A"
"589"	"F"
"590"	"A"
"591"	"A"
"592"	"C"
"593"	"F"
"594"	"C"
"595"	"D"
"596"	"A"
"597"	"C"
"598"	"C"
"599"	"A"
"600"	"C"
"601"	"A"
"602"	"C"
"603"	"D"
"604"	"A"
"605"	"D"
"606"	"D"
"607"	"A"
"608"	"E"
"609"	"F"
"610"	"A"
"611"	"D"
"612"	"E"
"613"	"E"
"614"	"C"
"615"	"C"
"616"	"F"
"617"	"D"
"618"	"D"
"619"	"C"
"620"	"E"
"621"	"E"
"622"	"C"
"623"	"C"
"624"	"F"
"625"	"C"
"626"	"C"
"627"	"B"
"628"	"C"
"629"	"A"
"630"	"C"
"631"	"A"
"632"	"C"
"633"	"F"
"634"	"F"
"635"	"D"
"636"	"C"
"637"	"A"
"638"	"A"
"639"	"D"
"640"	"A"
"641"	"A"
"642"	"F"
"643"	"A"
"644"	"F"
"645"	"F"
"646"	"A"
"647"	"A"
"648"	"C"
"649"	"E"
"650"	"F"
"651"	"D"
"652"	"C"
"653"	"A"
"654"	"C"
"655"	"F"
"656"	"A"
"657"	"A"
"658"	"A"
"659"	"A"
"660"	"B"
"661"	"D"
"662"	"A"
"663"	"F"
"664"	"C"
"665"	"F"
"666"	"F"
"667"	"A"
"668"	"D"
"669"	"D"
"670"	"A"
"671"	"F"
"672"	"C"
"673"	"D"
"674"	"A"
"675"	"C"
"676"	"F"
"677"	"C"
"678"	"C"
"679"	"D"
"680"	"F"
"681"	"A"
"682"	"F"
"683"	"A"
"684"	"F"
"685"	"A"
"686"	"D"
"687"	"F"
"688"	"A"
"689"	"A"
"690"	"D"
"691"	"C"
"692"	"D"
"693"	"F"
"694"	"C"
"695"	"E"
"696"	"C"
"697"	"A"
"698"	"A"
"699"	"B"
"700"	"C"
"701"	"A"
"702"	"C"
"703"	"D"
"704"	"A"
"705"	"F"
"706"	"A"
"707"	"C"
"708"	"A"
"709"	"F"
"710"	"C"
"711"	"F"
"712"	"B"
"713"	"F"
"714"	"A"
"715"	"A"
"716"	"C"
"717"	"B"
"718"	"A"
"719"	"E"
"720"	"E"
"721"	"A"
"722"	"C"
"723"	"A"
"724"	"A"
"725"	"F"
"726"	"C"
"727"	"D"
"728"	"A"
"729"	"A"
"730"	"B"
"731"	"B"
"732"	"C"
"733"	"C"
"734"	"F"
"735"	"D"
"736"	"C"
"737"	"C"
"738"	"C"
"739"	"F"
"740"	"C"
"741"	"A"
"742"	"C"
"743"	"C"
"744"	"A"
"745"	"A"
"746"	"F"
"747"	"D"
"748"	"A"
"749"	"E"
"750"	"A"
"751"	"A"
"752"	"E"
"753"	"F"
"754"	"F"
"755"	"A"
"756"	"E"
"757"	"A"
"758"	"C"
"759"	"D"
"760"	"C"
"761"	"A"
"762"	"E"
"763"	"A"
"764"	"F"
"765"	"A"
"766"	"A"
"767"	"C"
"768"	"E"
"769"	"C"
"770"	"A"
"771"	"C"
"772"	"A"
"773"	"D"
"774"	"C"
"775"	"E"
"776"	"C"
"777"	"C"
"778"	"C"
"779"	"C"
"780"	"B"
"781"	"A"
"782"	"A"
"783"	"A"
"784"	"D"
"785"	"A"
"786"	"F"
"787"	"C"
"788"	"F"
"789"	"C"
"790"	"C"
"791"	"C"
"792"	"D"
"793"	"A"
"794"	"A"
"795"	"D"
"796"	"C"
"797"	"A"
"798"	"A"
"799"	"F"
"800"	"C"
"801"	"B"
"802"	"A"
"803"	"B"
"804"	"A"
"805"	"A"
"806"	"C"
"807"	"D"
"808"	"D"
"809"	"C"
"810"	"F"
"811"	"C"
"812"	"F"
"813"	"A"
"814"	"A"
"815"	"A"
"816"	"F"
"817"	"A"
"818"	"B"
"819"	"A"
"820"	"F"
"821"	"A"
"822"	"D"
"823"	"D"
"824"	"A"
"825"	"F"
"826"	"C"
"827"	"A"
"828"	"F"
"829"	"C"
"830"	"E"
"831"	"F"
"832"	"A"
"833"	"A"
"834"	"F"
"835"	"C"
"836"	"B"
"837"	"A"
"838"	"A"
"839"	"C"
"840"	"D"
"841"	"F"
"842"	"C"
"843"	"B"
"844"	"C"
"845"	"C"
"846"	"A"
"847"	"D"
"848"	"C"
"849"	"A"
"850"	"D"
"851"	"C"
"852"	"E"
"853"	"D"
"854"	"F"
"855"	"C"
"856"	"C"
"857"	"C"
"858"	"F"
"859"	"C"
"860"	"A"
"861"	"C"
